Id	Name	   Country	Description	Profile Picture	Skills	Jobs Completed	Yrs of Experience	Rating	Price per Hr	Availability	LinkedIn Profile	Portfolio	Tools
1	Hiroshi Tanaka 1	Germany	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/61.jpg	Web Development, JavaScript	190	16	3.8	136	Busy	https://linkedin.com/in/freelancer1	https://portfolio.com/freelancer1	Adobe Illustrator, Canva
2	Rahul Mehta 2	Brazil	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/71.jpg	Cloud Computing, AWS	17	5	4.8	40	Part-time	https://linkedin.com/in/freelancer2	https://portfolio.com/freelancer2	React, Angular
3	Rahul Mehta 3	South Africa	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/63.jpg	Web Development, JavaScript	103	8	3.5	79	Available	https://linkedin.com/in/freelancer3	https://portfolio.com/freelancer3	VS Code, PyCharm
4	Sophie Dubois 4	Australia	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/1.jpg	Project Management, Agile	113	6	4	39	Available	https://linkedin.com/in/freelancer4	https://portfolio.com/freelancer4	React, Angular
5	Elena Rossi 5	India	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/55.jpg	Machine Learning, AI	193	17	4.8	76	Busy	https://linkedin.com/in/freelancer5	https://portfolio.com/freelancer5	Final Cut Pro, Premiere Pro
6	Carlos Mendes 6	USA	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/18.jpg	Python, Data Science	52	19	3.8	118	Part-time	https://linkedin.com/in/freelancer6	https://portfolio.com/freelancer6	Docker, Kubernetes
7	Hiroshi Tanaka 7	South Africa	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/5.jpg	Web Development, JavaScript	145	17	4.4	57	Busy	https://linkedin.com/in/freelancer7	https://portfolio.com/freelancer7	TensorFlow, PyTorch
8	Carlos Mendes 8	Brazil	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/83.jpg	Project Management, Agile	95	10	4.1	117	Part-time	https://linkedin.com/in/freelancer8	https://portfolio.com/freelancer8	AWS, Azure
9	Chen Wei 9	India	Experienced Marketing, Branding specialist.	https://randomuser.me/api/portraits/men/61.jpg	Blockchain, Smart Contracts	42	6	4.1	90	Busy	https://linkedin.com/in/freelancer9	https://portfolio.com/freelancer9	TensorFlow, PyTorch
10	Sophie Dubois 10	India	Experienced Graphic Design, Photoshop specialist.	https://randomuser.me/api/portraits/men/22.jpg	Python, Data Science	163	2	4.7	61	Busy	https://linkedin.com/in/freelancer10	https://portfolio.com/freelancer10	Figma, Sketch
11	Sophie Dubois 11	Japan	Experienced Cybersecurity, Ethical Hacking specialist.	https://randomuser.me/api/portraits/men/2.jpg	Graphic Design, Photoshop	195	2	3.8	134	Busy	https://linkedin.com/in/freelancer11	https://portfolio.com/freelancer11	AWS, Azure
12	Rahul Mehta 12	India	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/42.jpg	Web Development, JavaScript	123	16	4.5	68	Available	https://linkedin.com/in/freelancer12	https://portfolio.com/freelancer12	Figma, Sketch
13	Hiroshi Tanaka 13	France	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/37.jpg	Python, Data Science	110	17	3.9	134	Part-time	https://linkedin.com/in/freelancer13	https://portfolio.com/freelancer13	Docker, Kubernetes
14	Fatima Yusuf 14	USA	Experienced Blockchain, Smart Contracts specialist.	https://randomuser.me/api/portraits/men/50.jpg	Content Writing, SEO	193	12	3.9	112	Part-time	https://linkedin.com/in/freelancer14	https://portfolio.com/freelancer14	Final Cut Pro, Premiere Pro
15	Elena Rossi 15	Brazil	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/98.jpg	Project Management, Agile	23	17	4	33	Busy	https://linkedin.com/in/freelancer15	https://portfolio.com/freelancer15	VS Code, PyCharm
16	Fatima Yusuf 16	France	Experienced Marketing, Branding specialist.	https://randomuser.me/api/portraits/men/19.jpg	Web Development, JavaScript	110	15	3.7	55	Part-time	https://linkedin.com/in/freelancer16	https://portfolio.com/freelancer16	Docker, Kubernetes
17	Carlos Mendes 17	USA	Experienced Blockchain, Smart Contracts specialist.	https://randomuser.me/api/portraits/men/43.jpg	Blockchain, Smart Contracts	167	3	5	83	Available	https://linkedin.com/in/freelancer17	https://portfolio.com/freelancer17	Adobe Illustrator, Canva
18	Mikhail Ivanov 18	USA	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/60.jpg	Python, Data Science	53	8	3.7	122	Part-time	https://linkedin.com/in/freelancer18	https://portfolio.com/freelancer18	React, Angular
19	James Smith 19	UK	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/99.jpg	Cybersecurity, Ethical Hacking	132	13	4.4	33	Available	https://linkedin.com/in/freelancer19	https://portfolio.com/freelancer19	Node.js, Express
20	Carlos Mendes 20	Japan	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/11.jpg	Machine Learning, AI	47	15	4	146	Part-time	https://linkedin.com/in/freelancer20	https://portfolio.com/freelancer20	Adobe Illustrator, Canva
21	Elena Rossi 21	France	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/89.jpg	Cybersecurity, Ethical Hacking	140	4	4.9	134	Available	https://linkedin.com/in/freelancer21	https://portfolio.com/freelancer21	Google Analytics, SEMrush
